Guess id=1204 -> next_url id=Some(1304), batch min=Some(1205) max=Some(1304), records=100, unique_added=100
Guess id=904 -> next_url id=Some(1004), batch min=Some(905) max=Some(1004), records=100, unique_added=100
Guess id=404 -> next_url id=Some(504), batch min=Some(405) max=Some(504), records=100, unique_added=100
Guess id=604 -> next_url id=Some(704), batch min=Some(605) max=Some(704), records=100, unique_added=100
Guess id=1004 -> next_url id=Some(1104), batch min=Some(1005) max=Some(1104), records=100, unique_added=100
Guess id=804 -> next_url id=Some(904), batch min=Some(805) max=Some(904), records=100, unique_added=100
Guess id=1104 -> next_url id=Some(1204), batch min=Some(1105) max=Some(1204), records=100, unique_added=100
Guess id=204 -> next_url id=Some(304), batch min=Some(205) max=Some(304), records=100, unique_added=100
Guess id=304 -> next_url id=Some(404), batch min=Some(305) max=Some(404), records=100, unique_added=100
Guess id=1304 -> next_url id=Some(1411), batch min=Some(1305) max=Some(1411), records=100, unique_added=100
Guess id=504 -> next_url id=Some(604), batch min=Some(505) max=Some(604), records=100, unique_added=100
Guess id=704 -> next_url id=Some(804), batch min=Some(705) max=Some(804), records=100, unique_added=100
Guess id=2004 -> next_url id=Some(38164), batch min=Some(38065) max=Some(38164), records=100, unique_added=100
Found next_id 38164 is greater than 2254. Redundant guess ids to abort: [2204, 2104, 1504, 2904, 3204, 2804, 2604, 3004, 1404, 1604, 1804, 2504, 3104, 2304, 1904, 1704, 2404, 2704]
Guess id=3304 -> next_url id=Some(38164), batch min=Some(38065) max=Some(38164), records=100, unique_added=0
Found next_id 38164 is greater than 3554. Redundant guess ids to abort: []
Guess id=38564 -> next_url id=Some(38664), batch min=Some(38565) max=Some(38664), records=100, unique_added=100
Guess id=39464 -> next_url id=Some(39564), batch min=Some(39465) max=Some(39564), records=100, unique_added=100
Guess id=39264 -> next_url id=Some(39364), batch min=Some(39265) max=Some(39364), records=100, unique_added=100
Guess id=38464 -> next_url id=Some(38564), batch min=Some(38465) max=Some(38564), records=100, unique_added=100
Guess id=39164 -> next_url id=Some(39264), batch min=Some(39165) max=Some(39264), records=100, unique_added=100
Guess id=38864 -> next_url id=Some(38964), batch min=Some(38865) max=Some(38964), records=100, unique_added=100
Guess id=38964 -> next_url id=Some(39064), batch min=Some(38965) max=Some(39064), records=100, unique_added=100
